Producto;IRC;EAN;DESCRIPCION;LOTE;ESTADO INV;ESTADO LOTE;ALMACEN;PASILLO;COLUMNA;NIVEL;DIG;STOCK
0-293-000-430;8835-;7891182014601;RISQUE- MACA DO AMOR 430;5049C1         ;DIS;DIS;COTY;026;336;02;7;568
0-111-811-;7795646118112;7795646118112;RML - COMBO 13 MELI;4058;DIS;DIS;COTY;026;336;04;98;5
0-256-223-;99350183128;3616304895685;DB TRUE INSTINCT EDP 75ML;4299;E32;DIS;COTY;026;341;02;86;174
0-582-114-;99350209849;3616305629364;CHAN - TST ROSE EDT 100ML;4292S1         ;DIS;DIS;COTY;026;341;04;52;75
0-061-534-260;99350137339;074170457773;SH - PURE RENOVATION ECO-ROSE 260;5009;DIS;DIS;COTY;026;341;20;60;285
0-111-139-003;34775981003;3614223134892;RIM - SCANDAL RELOAD MASC - EXBLCK 003;5042;DIS;DIS;COTY;026;341;30;37;2547
0-192-069-055;99350101485;3616302638741;MF - MIRACLE FND BEIGE 55;5135;DIS;DIS;COTY;026;341;40;23;147
0-412-189-004;99350198413;3616305490612;RIM - TST BASE MULTITASKER BTF - 004;3328;DIS;DIS;COTY;026;341;50;66;200
0-412-828-010;99350122270;3616302989744;RIM - TST CORRECT KIND & FREE - 010;3191;DIS;DIS;COTY;026;341;60;98;480
0-412-900-030;99350212469;3616305714992;RIM - TST BASE CORRECT MULTITASKER -30;4256;DIS;DIS;COTY;026;341;70;77;163
0-191-031-008;99350194669;3616305243317;MF - 2000 CAL CARAMEL SWISH 008;4218;DIS;DIS;COTY;026;341;80;93;812
